t_s	status	BIG	BIG_MID	MID	LITTLE	skin	soc	cap_cpu2	cap_cpu7	cd_big	cd_cpu2	cd_cpu0	mem_avail_kb
262	1	60.000004	59.000004	61.000004	58.000004	40.001663	48.465004	1785000	2208000	1462000	388000	867000	3186044
268	1	60.000004	59.000004	61.000004	58.000004	39.98434	48.452003	1785000	2208000	1462000	388000	999000	3176776
273	1	59.000004	60.000004	61.000004	58.000004	39.98703	48.452003	1785000	2208000	1462000	388000	999000	3196840
279	1	60.000004	59.000004	61.000004	58.000004	39.988644	48.433002	1785000	2208000	1462000	388000	999000	3191608
284	1	60.000004	60.000004	61.000004	58.000004	39.98566	48.426003	1785000	2208000	1462000	388000	999000	3189064
290	1	62.000004	61.000004	62.000004	58.000004	39.98116	48.445004	1785000	2208000	1462000	388000	999000	3209320
295	1	60.000004	60.000004	62.000004	59.000004	39.97748	48.456	1785000	2208000	1462000	388000	999000	3209560
300	1	59.000004	60.000004	61.000004	58.000004	39.99488	48.460003	1785000	2208000	1462000	388000	999000	3208536
306	1	60.000004	60.000004	62.000004	59.000004	40.01159	48.473003	1785000	2208000	1462000	388000	999000	3207384
311	1	60.000004	60.000004	62.000004	59.000004	40.02058	48.488003	1785000	2208000	1462000	388000	999000	3214656
316	1	60.000004	60.000004	62.000004	59.000004	40.023727	48.496002	1785000	2208000	1462000	388000	999000	3212048
322	1	60.000004	60.000004	61.000004	59.000004	40.024403	48.496002	1785000	2208000	1462000	388000	999000	3212388
327	1	59.000004	60.000004	61.000004	58.000004	40.043762	48.498	1785000	2208000	1462000	388000	999000	3210512
332	1	61.000004	60.000004	62.000004	59.000004	40.05538	48.502003	1785000	2208000	1462000	388000	999000	3202872
338	1	60.000004	59.000004	61.000004	58.000004	40.073376	48.543003	1785000	2208000	1462000	388000	999000	3193608
343	1	60.000004	60.000004	62.000004	58.000004	40.091995	48.585003	1785000	2208000	1462000	388000	999000	3196848
349	1	60.000004	60.000004	61.000004	58.000004	40.100735	48.613003	1785000	2208000	1462000	388000	999000	3193536
354	1	60.000004	60.000004	61.000004	58.000004	40.115673	48.625004	1785000	2208000	1462000	388000	999000	3165288
360	1	60.000004	60.000004	61.000004	58.000004	40.130016	48.709003	1785000	2208000	1462000	388000	999000	3151504
365	1	60.000004	59.000004	61.000004	58.000004	40.163837	48.713	1785000	2208000	1462000	388000	999000	3186716
371	1	60.000004	60.000004	61.000004	58.000004	40.180134	48.698	1785000	2208000	1462000	388000	999000	3194816
376	1	54.000004	51.000004	52.000004	52.000004	40.195778	48.469	1785000	2208000	1462000	388000	999000	3198232
381	1	51.000004	49.000004	50.000004	51.000004	40.22087	47.293003	1862000	2208000	1462000	480000	999000	5771016
387	1	48.000004	47.000004	47.000004	48.000004	40.226517	46.209003	1939000	2342000	1655000	535000	999000	7552880
392	1	46.000004	45.000004	45.000004	46.000004	40.21821	45.083004	1939000	2342000	1655000	535000	999000	7546472
397	1	45.000004	44.000004	45.000004	46.000004	40.164352	43.998	2092000	2457000	1816000	585000	999000	7558148
403	1	45.000004	43.000004	44.000004	45.000004	40.13204	43.465004	2188000	2592000	2008000	647000	999000	7556708
